Susu Bekatul Beras Merah;48;0
Susu Bekatul Beras Hitam;48;0
Singkong Organik;1;0
Sari Temulawak Besar;48;0
Sari Temulawak Kecil;48;0
Karak Beras Hitam;13;0
Karak Beras Merah;13;0
Karak Beras Putih Organik;13;0
Buah Duku;1;0
Pisang Raja;111;0
Pisang Ambon;111;0
Kobis;1;0
Sawi Putih;1;0
Sawi Sendok;1;0
Buncis;1;0
Loncang;103;0
Lobak;1;0
Buah Manggis;1;0
Ikan patin;1;0
Filet Patin;1;0
Ikan Kakap;1;0
Filet Kakap;1;0
Wiping Cream;12;0
Bawang bombay;1;0
Jinten;1;0
Mentega;1;0
Tepung Maizena;13;0
Esens Jamaica;12;0
Air Kelapa Muda;10;0
Buah Mangga;1;0
Pasle;103;0
Bread crumb;1;0
Buah Bengkoang;1;0
Coklat Bubuk;13;0
Coklat Batangan;43;0
Daunt Mint;103;0
Gula halus;1;0
