;;;;;;;;bad56f7d-3939-11e7-8bdb-6cae8b5ed6e0;Web camera;;;;;;;;;;;---;;;;;
;;;;;;;;bad58232-3939-11e7-8bdb-6cae8b5ed6e0;Krimping Tool;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
;;;;;;;;---;;;;;;;;;;;;---;;;;;
